id,raw_name,canonical_name,domain,confidence,evidence,judge_score,judge_rationale,verdict
1,Apple Inc.,Apple Inc.,apple.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
2,Aple Inc,Apple Inc.,apple.com,0.9,Fuzzy matched 'Aple Inc' → 'Apple Inc.' (score 88.88888888888889/100),9,Fuzzy matched 'Aple Inc' → 'Apple Inc.' (score 88.88888888888889/100) with high confidence 0.9,accept
3,APPLE,Apple Inc.,apple.com,0.9,"Found in Wikipedia, with evidence of company website and financials.",9,"Strong evidence of company website and financials, minor name variation.",accept
4,Apple Incorporated,Apple Inc.,apple.com,0.9,"Found on Wikipedia: Apple Inc. is an American multinational technology company headquartered in Cupertino, California, in Silicon Valley, and known for consumer electronics, software and online services.",9,"Strong evidence from Wikipedia supports the match, with minor name variation between Apple Incorporated and Apple Inc.",accept
5,Microsoft Corp,Microsoft Corporation,microsoft.com,0.9,Fuzzy matched 'Microsoft Corp' → 'Microsoft Corporation' (score 80.0/100),8,Fuzzy matched 'Microsoft Corp' → 'Microsoft Corporation' (score 80.0/100) with high confidence 0.9.,accept
6,Microsft Corporation,Microsoft Corporation,microsoft.com,1.0,Exact match found in canonical database.,9,Exact match found in canonical database with high confidence.,accept
7,MSFT,Microsoft Corporation,microsoft.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with high confidence.,accept
8,microsoft,Microsoft Corporation,microsoft.com,0.9,"Microsoft Corporation is an American multinational technology company headquartered in Redmond, Washington. The company became influential in the rise of personal computers through software like Windows and has since expanded into areas such as Internet services, cloud computing, artificial intelligence, video gaming, and more. A Big Tech company, Microsoft is the largest software company by revenue, one of the most valuable public companies, and one of the most valuable brands globally. [...] F",9,"Strong evidence supports the match, with minor name variation.",accept
9,Alphabet Inc,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 20519, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
10,Google (Alphabet),Alphabet Inc.,abc.xyz,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
11,Googl / Alphabet,Alphabet Inc.,abc.xyz,1.0,Exact match found in canonical database.,9,Exact match found in canonical database with minor name variation.,accept
12,Amazon.com Inc.,Amazon.com Inc.,amazon.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
13,Amazon Web Services,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 9721, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
14,Amazn,"Amazon.com, Inc.",amazon.com,0.9,Resolved using web search and Wikipedia.,8,"The resolved name Amazon.com, Inc. matches the input Amazn with a confidence of 0.9, considering minor name variation.",accept
15,Meta Platforms,Meta Platforms Inc.,meta.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
16,Facebook (Meta),Meta Platforms Inc.,meta.com,0.9743589743589745,"Fuzzy matched 'Meta Platforms, Inc.' → 'Meta Platforms Inc.' (score 97.43589743589743/100)",9,Strong evidence of a match with a minor name variation.,accept
17,META Inc,Meta Platforms Inc.,meta.com,0.973,Fuzzy matched 'Meta Platforms Inc' → 'Meta Platforms Inc.' (score 97.2972972972973/100),9,Strong evidence of a match with a minor name variation.,accept
18,Facebok Platforms,"Meta Platforms, Inc.",meta.com,0.9,"The company was originally established in 2004 as TheFacebook, Inc.,( and was renamed Facebook, Inc. in 2005.( In 2021, it rebranded as Meta Platforms, Inc. to reflect a strategic shift toward developing the metaverse—an interconnected digital ecosystem spanning virtual and augmented reality technologies.(

In 2023, Meta was ranked 31st on the _Forbes_Global 2000 list of the world's largest public companies.( As of 2022, it was the world's third-largest spender on research and development, with ",8,"The resolved name Meta Platforms, Inc. matches the company entity, with a minor name variation.",accept
19,Tesla Inc,Tesla Inc.,tesla.com,0.94,Fuzzy matched 'Tesla Inc' → 'Tesla Inc.' (score 94.74/100) and web search for TSLA canonical full name.,9,Strong evidence of a perfect match with a minor name variation (Fuzzy matched 'Tesla Inc' → 'Tesla Inc.' (score 94.74/100)) and high confidence (0.94).,accept
20,Tesle Motors,Tesla Inc.,tesla.com,0.9,"Found through web search, using TAVILY_API_KEY to search for 'What company is Tesla Motors? canonical full name'.",8,Strong evidence from web search with high confidence (0.9) and minor name variation (Tesle Motors vs Tesla Inc.).,accept
21,TSLA,"Tesla, Inc.",tesla.com,0.9,"Found through web search, evidence from Yahoo Finance profile.",9,"Strong evidence from Yahoo Finance profile and exact domain match, minor name variation.",accept
22,Tesla Motors Inc.,"Tesla, Inc.",tesla.com,0.9,"Found through web search, evidence from Yahoo Finance profile.",8,Strong evidence from Yahoo Finance profile with minor name variation between raw input and resolved name.,accept
23,Nvidia Corp.,NVIDIA Corporation,nvidia.com,0.9,Found through web search with query 'What company is NVDA? canonical full name'.,9,The resolved name NVIDIA Corporation matches the raw input Nvidia Corp. with high confidence (0.9) and strong evidence from a web search.,accept
24,NVidia,NVIDIA Corporation,nvidia.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
25,NVDA Corp,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 9789, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
26,Nvidia Corporation Inc,NVIDIA Corporation,nvidia.com,0.9,Fuzzy matched 'Nvidia Corporation Inc' → 'NVIDIA Corporation' (score 90.0/100),9,Fuzzy matched 'Nvidia Corporation Inc' → 'NVIDIA Corporation' (score 90.0/100) with high confidence 0.9.,accept
27,Salesforce,Salesforce Inc.,salesforce.com,0.8,Fuzzy matched 'Salesforce' → 'Salesforce Inc.' (score 80.0/100),8,Fuzzy matched 'Salesforce' → 'Salesforce Inc.' (score 80.0/100) with high confidence 0.8,accept
28,Saleforce.com,"Salesforce, Inc.",salesforce.com,0.9,Resolved using web search with query 'What company is Saleforce.com? canonical full name'.,8,"The resolved name Salesforce, Inc. matches the raw input Saleforce.com with a confidence of 0.9, and the domain salesforce.com supports the match. However, there is a minor name variation.",accept
29,SFDC,Salesforce Inc.,salesforce.com,0.8,Fuzzy matched 'Salesforce' → 'Salesforce Inc.' (score 80.0/100),8,Fuzzy matched 'Salesforce' → 'Salesforce Inc.' (score 80.0/100) with high confidence 0.8,accept
30,Salesforce CRM,Salesforce Inc.,salesforce.com,0.9,Fuzzy matched 'Salesforce CRM' → 'Salesforce Inc.' (score 82.75862068965517/100),8,"Strong evidence with a score of 82.75862068965517/100 and high confidence of 0.9, minor name variation.",accept
31,Adobe Systems,,,0.0,"Agent error: Error code: 400 - {'error': {'message': ""Failed to call a function. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '<function=company_lookup_tool>{""company_name"": ""Adobe Systems""}<function>\n<function=fuzzy_match_tool>{""company_name"": ""Adobe Systems"", ""threshold"": 75}<function>\n<function=web_search_tool>{""query"": ""What company is Adobe Systems? canonical full name""}<function>\n\n{\n  ""canonical_name"": ""Adobe Inc."",\n  ""domain"": ""adobe.com"",\n  ""confidence"": 0.9,\n  ""evidence"": ""Resolved using web search after exact match and fuzzy match failed.""\n}'}}",0,Agent returned no resolved name.,reject
32,Adobe Inc,,,0.0,"Agent error: Error code: 400 - {'error': {'message': ""Failed to call a function. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '<function=company_lookup_tool>{""company_name"": ""Adobe Inc""}<function>\n\n<function=fuzzy_match_tool>{""company_name"": ""Adobe Inc"", ""threshold"": 75}<function>\n\n<function=web_search_tool>{""query"": ""What company is Adobe Inc? canonical full name""}<function>\n\n{\n  ""canonical_name"": ""Adobe Inc."",\n  ""domain"": ""adobe.com"",\n  ""confidence"": 1.0,\n  ""evidence"": ""Exact match found in company lookup.""\n}'}}",0,Agent returned no resolved name.,reject
33,ADBE,Adobe Inc.,adobe.com,0.9,Found through web search and confirmed through multiple sources.,9,"Strong evidence from web search and multiple sources, minor name variation.",accept
34,Oracle Corp,Oracle Corporation,oracle.com,0.9,Fuzzy matched 'Oracle Corp' → 'Oracle Corporation' (score 75.86206896551724/100),8,Fuzzy matched 'Oracle Corp' → 'Oracle Corporation' (score 75.86206896551724/100) with high confidence 0.9,accept
35,Oracle Corporation Inc,Oracle Corporation,oracle.com,0.9,Fuzzy matched 'Oracle Corporation Inc' → 'Oracle Corporation' (score 90.0/100),8,"Strong evidence with a score of 90.0/100 and high confidence of 0.9, minor name variation.",accept
36,Oracl,Oracle Corporation,oracle.com,0.9,Found Oracle Corporation through web search.,8,"Strong evidence of Oracle Corporation through web search, minor name variation.",accept
37,ServiceNow,ServiceNow Inc.,servicenow.com,0.9,Fuzzy matched 'ServiceNow' → 'ServiceNow Inc.' (score 80.0/100),8,Fuzzy matched 'ServiceNow' → 'ServiceNow Inc.' (score 80.0/100) with high confidence 0.9,accept
38,Service Now Inc.,ServiceNow Inc.,servicenow.com,0.9,Fuzzy matched 'Service Now Inc.' → 'ServiceNow Inc.' (score 77.41935483870968/100),8,"Strong evidence with a score of 77.41935483870968/100 and a confidence of 0.9, minor name variation.",accept
39,ServiceNow Inc,ServiceNow Inc.,servicenow.com,0.9,Fuzzy matched 'ServiceNow Inc' → 'ServiceNow Inc.' (score 96.55172413793103/100),9,"Strong evidence with a score of 96.55172413793103/100 and a confidence of 0.9, minor name variation.",accept
40,Workday Inc.,Workday Inc.,workday.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
41,Workdai,"Workday, Inc.",workday.com,0.9,Resolved using web search and Wikipedia.,8,"Strong evidence from web search and Wikipedia, minor name variation.",accept
42,WDAY,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 11276, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
43,Shopify Inc.,Shopify Inc.,shopify.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
44,Shopify Canada,Shopify Inc.,shopify.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
45,Shpify,Shopify Inc.,shopify.com,0.9,Resolved using web search and TAVILY_API_KEY.,8,"Strong evidence from web search and TAVILY_API_KEY, minor name variation between Shpify and Shopify Inc.",accept
46,Snowflake Inc,Snowflake Inc.,snowflake.com,0.9,Fuzzy matched 'Snowflake Inc' → 'Snowflake Inc.' (score 96.2962962962963/100),9,Fuzzy matched 'Snowflake Inc' → 'Snowflake Inc.' (score 96.2962962962963/100) with high confidence 0.9.,accept
47,Snowflake Computing,Snowflake Inc.,snowflake.com,1.0,Exact match found in canonical database.,9,"Exact match found in canonical database with confidence 1.0, minor name variation.",accept
48,SNOW Inc.,Snowflake Inc.,snowflake.com,0.9,Fuzzy matched 'SNOW Inc.' → 'Snowflake Inc.' (score 78.26086956521739/100),8,"Strong evidence with a score of 78.26086956521739/100 and high confidence of 0.9, minor name variation.",accept
49,Datadog,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 10221, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
50,Data Dog Inc.,Datadog Inc.,datadoghq.com,0.96,Fuzzy matched 'Data Dog Inc.' → 'Datadog Inc.' (score 96.0/100),9,Fuzzy matched 'Data Dog Inc.' → 'Datadog Inc.' (score 96.0/100) with high confidence 0.96.,accept
51,DDOG,"Datadog, Inc.",datadoghq.com,0.9,Resolved using web search and canonical database lookup.,9,"Strong evidence from web search and canonical database lookup, minor name variation.",accept
52,MongoDB,MongoDB Inc.,mongodb.com,0.9,Exact match found in canonical database.,9,Exact match found in canonical database with high confidence (0.9).,accept
53,Mongo DB Inc,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 6055, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
54,MDB Corp,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 14737, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
